0.45,0.075,0.9969,10.4,0
0.23,0.039,0.99946,8.8,1
0.25,0.034,0.99085,11.9,1
0.21,0.028,0.99244,11.5,1
0.66,0.069,0.9968,10.3,0
0.315,0.079,0.99512,11.9,0
0.35,0.034,0.9912,11.633,1
0.26,0.038,0.99432,10.9,1
0.3,0.041,0.99418,10.9,1
0.39,0.027,0.9907,14,1
0.35,0.028,0.9936,11.4,1
0.33,0.052,0.99475,9.4,1
0.31,0.042,0.9948,9.8,1
0.55,0.047,0.9974,9.2,1
0.26,0.044,0.9961,9.4,1
0.34,0.047,0.99481,9.6,1
0.2,0.037,0.99388,11,1
0.29,0.042,0.9944,10.8,1
0.2,0.044,0.9949,9.4,1
0.18,0.064,0.9924,11.1,1
0.14,0.022,0.99218,10,1
0.66,0.079,0.9972,9.6,0
0.43,0.033,0.9955,11.3,1
0.17,0.04,0.99026,12,1
0.2,0.038,0.99496,10.5,1
0.15,0.031,0.99437,11.5,1
0.15,0.033,0.99192,12.1,1
0.135,0.042,0.9946,9.3,1
0.91,0.06,0.99592,10.9,0
0.24,0.046,0.9902,11.45,1
0.56,0.071,0.99496,9.8,1
0.21,0.037,0.99321,10.9,1
0.3,0.039,0.99158,10.7,1
0.31,0.043,0.99566,9.4,1
0.6,0.05,0.9972,9.3,1
0.32,0.052,0.99316,10,1
0.32,0.049,0.99067,12.2,1
0.55,0.119,0.9962,10.9,0
0.31,0.038,0.99412,12.5,1
0.58,0.072,0.9992,10,0
0.23,0.035,0.9947,9.7,1
0.34,0.023,0.98865,12.9,1
0.35,0.048,0.9993,9.4,1
0.5,0.071,0.9978,10.5,0
0.785,0.094,0.99713,9.6,0
0.39,0.027,0.9894,12.5,1
0.21,0.039,0.98972,12,1
0.46,0.054,0.99392,10.8,1
0.645,0.075,0.99547,10.2,0
0.63,0.097,0.99675,9,0
0.36,0.053,0.99544,11,1
0.18,0.035,0.9952,10.1,1
0.74,0.067,0.99418,11.8,0
0.28,0.048,0.9953,9.3,1
0.26,0.037,0.9918,11.1,1
0.28,0.058,0.9966,9.7,1
0.24,0.028,0.99182,11.4,1
0.48,0.07,0.99693,10.3,0
0.735,0.092,0.9974,9.8,0
0.3,0.041,0.9946,9.9,1
0.58,0.088,0.99568,10.5,0
0.21,0.046,0.99184,10.5,1
0.1,0.047,0.9928,9.5,1
0.22,0.054,1.0002,9.7,1
0.36,0.123,0.99642,11.9,0
0.33,0.048,0.99456,11.5,1
0.45,0.035,0.99058,12.5,1
0.6,0.098,0.9988,9.1,0
0.475,0.03,0.9904,10.8,1
0.44,0.053,0.98982,12.7,1
0.38,0.08,0.99624,11,0
0.37,0.036,0.9944,9.8,1
0.41,0.063,0.9932,9.2,1
0.28,0.049,0.9934,9.4,1
0.22,0.096,0.9937,9.6,1
